Score threshold,Displayed-item precision
0.15,0.2558367346938776
0.20,0.2916574217883292
0.25,0.3301968731905038
0.30,0.3725677222434185
0.35,0.4067924528301886
0.40,0.4372724263488911
0.50,0.5071384233395406
