product_category,lines,households,sales_value,retail_discount,manufacturer_discount,retailer_coupon_match
ISOTONIC DRINKS,6533,870,14755.7,2716.6,17.85,2.75
FRZN BREAKFAST FOODS,6138,1076,14645.18,2416.55,193.82,84.55
COLD AND FLU,3455,1087,14621.25,1346.45,18.05,3.3499999999999996
PAPER HOUSEWARES,6111,1277,14573.92,2078.94,51.54,23.15
SALADS/DIPS,4421,1094,14404.550000000001,1485.4,12.58,4.5
CITRUS,6765,1354,14357.84,1200.91,0.0,0.0
SEAFOOD - SHELF STABLE,5041,1227,13908.9,2245.23,48.85,15.15
MAKEUP AND TREATMENT,3433,797,13731.94,4148.09,120.03999999999999,2.15
SEAFOOD-FRESH,2321,658,13686.79,2471.91,0.0,0.0
LIQUOR,1545,502,13653.94,58.63,0.0,0.0
BABY FOODS,11209,409,13621.32,545.21,182.18,45.0
SHAVING CARE PRODUCTS,2342,775,13490.11,1067.84,366.84000000000003,5.5
DRY NOODLES/PASTA,9677,1670,13167.91,2617.69,60.3,17.3
MARGARINES,8084,1628,13138.53,1750.22,108.6,80.3
ONIONS,9483,1635,12830.98,531.71,0.0,0.0
MISC. DAIRY,4938,1173,12756.2,1978.37,51.14,14.55
SOAP - LIQUID & BAR,4081,1131,12531.41,2000.78,181.94,47.25
FROZEN PIE/DESSERTS,4614,1188,12476.02,4051.11,188.84,14.7
PREPARED FOOD,2776,726,12442.78,1299.19,0.0,0.0
FRZN POTATOES,5325,1192,12101.33,2008.3,84.5,8.5
HAND/BODY/FACIAL PRODUCTS,1956,679,11755.62,1089.26,122.69,2.7
VITAMINS,1416,536,11701.91,3869.78,106.0,0.5
PREPAID WIRELESS&ACCESSORIES,584,195,11579.25,1670.0,0.0,0.0
LAUNDRY ADDITIVES,2777,895,11531.51,1139.77,81.68,36.9
FEMININE HYGIENE,2911,867,11430.58,854.58,90.17,25.94
IMPORTED WINE,1139,277,11365.68,43.6,0.0,0.0
FLORAL-FRESH CUT,1385,591,11130.82,238.86,62.93,0.0
TURKEY,1615,675,11128.95,4429.06,42.3,2.7
BREAKFAST SWEETS,4892,1170,11054.89,1676.48,0.55,0.45
ORGANICS FRUIT & VEGETABLES,4136,1002,10987.03,1052.97,3.0,0.0
VALUE ADDED FRUIT,3792,984,10948.5,340.71,13.25,0.75
FROZEN BREAD/DOUGH,4466,1219,10932.63,1996.01,189.1,123.17
DISHWASH DETERGENTS,3852,1186,10618.73,583.91,181.29,98.8
FACIAL TISS/DNR NAPKIN,4307,1048,10476.01,1257.62,67.65,31.1
AIR CARE,3190,811,10291.26,1197.05,564.33,13.44
BREAD,5044,1069,10202.65,1006.12,0.99,0.0
STATIONERY & SCHOOL SUPPLIES,3682,969,10100.08,1176.37,10.280000000000001,1.5
BEANS - CANNED GLASS & MW,6912,1376,10048.86,1411.97,15.200000000000001,9.64
CAT LITTER,1892,417,9938.34,1520.19,130.25,5.45
HOT CEREAL,3620,1109,9837.67,960.73,60.5,19.8
DIETARY AID PRODUCTS,1327,327,9744.51,737.66,10.25,0.25
SPRING/SUMMER SEASONAL,1150,665,9737.210000000001,971.28,0.0,0.0
SNACK NUTS,3000,852,9669.11,2106.94,8.79,1.9000000000000001
PWDR/CRYSTL DRNK MX,7919,946,9363.01,1617.1299999999999,5.9,2.5
STONE FRUIT,3502,956,9346.83,2538.05,0.0,0.0
BUTTER,2933,783,9324.21,1678.79,40.75,32.65
PEPPERS-ALL,5604,1201,9298.56,202.46,0.0,0.0
PROCESSED,3138,991,9201.630000000001,903.34,40.95,19.55
DEODORANTS,2880,989,9094.59,1263.57,139.25,15.05
CARROTS,4759,1249,9067.81,932.93,7.7700000000000005,0.0
PICKLE/RELISH/PKLD VEG,4007,1194,8978.0,1746.08,137.8,87.19
BABY HBC,2581,738,8897.77,584.19,152.68,7.15
WAREHOUSE SNACKS,4886,1123,8728.68,1283.4099999999999,45.089999999999996,27.65
COOKIES,2640,887,8551.9,3602.41,14.45,0.0
MELONS,2614,860,8429.07,1936.94,0.0,0.0
BOOKSTORE,991,425,8113.55,117.92,2.0,0.0
VEGETABLES SALAD,6280,1293,7852.45,25.02,0.0,0.0
BATTERIES,1458,725,7493.64,572.54,81.5,10.0
AUDIO/VIDEO PRODUCTS,573,324,7477.7699999999995,343.37,6.0,0.0
MOLASSES/SYRUP/PANCAKE MIXS,2984,1052,7457.25,1783.7,45.46,17.5
PET CARE SUPPLIES,1793,554,7171.49,300.64,15.040000000000001,0.95
PIES,1715,637,7070.13,1587.25,0.0,0.0
DRY SAUCES/GRAVY,4506,1092,7025.86,1346.2,17.08,13.29
DRY MIX DESSERTS,5531,1119,6965.81,2391.44,46.79,18.1
POPCORN,2493,864,6922.5,2142.89,98.85000000000001,33.65
FIRST AID PRODUCTS,1845,760,6874.32,156.02,19.55,3.9499999999999997
SINUS AND ALLERGY,955,456,6834.01,691.01,35.5,0.0
MUSHROOMS,2839,684,6806.84,375.61,0.0,0.0
ANTACIDS,1084,512,6731.27,943.03,7.8,0.8
TEAS,2189,779,6368.71,671.1,32.35,21.35
CHARCOAL AND LIGHTER FLUID,1261,521,6355.72,455.96000000000004,10.5,0.5
FROZEN,1536,237,6160.650000000001,516.34,6.6899999999999995,0.0
ROLLS,3106,929,5970.11,490.82,7.35,0.9
TOYS AND GAMES,1400,545,5964.45,784.49,0.0,0.0
FITNESS&DIET,1928,259,5937.62,1264.3,10.49,0.89
ELECTRICAL SUPPPLIES,1822,751,5780.82,362.42,15.05,5.550000000000001
BLEACH,2192,872,5760.12,395.43,27.8,12.45
BROCCOLI/CAULIFLOWER,2814,750,5754.39,555.05,0.0,0.0
CHRISTMAS  SEASONAL,1557,609,5713.88,1925.51,0.0,0.0
BROOMS AND MOPS,1972,792,5684.96,265.64,17.15,13.549999999999999
DRIED FRUIT,1983,651,5505.78,538.13,23.0,0.0
LAXATIVES,871,337,5225.5,512.08,2.5,0.0
NUTS,1139,455,5128.81,259.03,16.0,2.0
GARDEN CENTER,413,206,5068.46,731.33,0.0,0.0
COCOA MIXES,2181,856,5068.1,731.26,25.96,8.2
MISC WINE,730,374,4915.12,0.1,0.0,0.0
IN-STORE PHOTOFINISHING,543,221,4771.42,32.31,0.0,0.0
PLASTIC HOUSEWARES,1358,681,4581.85,534.16,25.15,5.75
TICKETS,405,217,4406.83,0.0,0.0,0.0
VALUE ADDED VEGETABLES,1364,493,4183.35,390.55,0.0,0.0
EYE AND EAR CARE PRODUCTS,691,352,4147.53,71.3,7.0,0.0
KITCHEN GADGETS,1221,685,4133.45,242.11,0.0,0.0
ROSES,283,201,4060.88,352.54,0.0,0.0
CEREAL/BREAKFAST,1092,228,4020.88,658.94,7.5,0.0
FILM AND CAMERA PRODUCTS,537,332,3863.27,557.03,28.5,2.5
PARTY TRAYS,275,162,3805.75,184.8,2.0,0.0
COOKWARE & BAKEWARE,603,412,3751.46,273.93,26.0,0.0
FRZN ICE,1301,569,3637.45,0.0,0.0,0.0
INFANT CARE PRODUCTS,782,313,3607.79,275.94,15.0,1.0
NEWSPAPER,3117,586,3490.61,1.72,0.0,0.0
OLIVES,1653,550,3430.05,534.37,0.0,0.0
FRZN FRUITS,818,268,3426.35,565.59,0.0,0.0
FRZN JCE CONC/DRNKS,1610,378,3357.78,607.48,0.75,0.75
FROZEN - BOXED(GROCERY),554,311,3234.1800000000003,813.92,20.84,1.85
ADULT INCONTINENCE,340,84,3220.61,195.07,28.9,0.9
CHIPS&SNACKS,1089,321,3219.01,406.96,1.1,0.45
MISCELLANEOUS,1283,600,3201.9500000000003,189.38,8.700000000000001,6.3
FLOUR & MEALS,1797,837,3114.57,122.55,5.95,3.95
CANDLES/ACCESSORIES,776,352,2980.07,670.54,1.5,0.0
SANDWICHES,613,190,2959.6600000000003,31.74,0.0,0.0
SWEET GOODS & SNACKS,948,414,2916.6200000000003,187.49,0.0,0.0
SUSHI,474,95,2859.04,1.0,0.0,0.0
HARDWARE SUPPLIES,728,434,2847.7200000000003,117.69,0.0,0.0
FLORAL-FLOWERING PLANTS,279,216,2779.4900000000002,74.85,0.0,0.0
COFFEE FILTERS,941,512,2722.68,156.67,4.0,0.0
FAMILY PLANNING,321,214,2638.93,79.9,0.0,0.0
PEARS,1161,439,2570.9,400.46,0.0,0.0
BATH,751,385,2559.18,235.93,4.5,1.5
HAIR CARE ACCESSORIES,881,445,2550.79,198.15,0.0,0.0
CORN,1538,645,2534.02,793.34,0.0,0.0
SNACKS,812,320,2388.19,258.12,1.0,0.0
FROZEN CHICKEN,269,144,2315.62,354.1,1.0,0.0
WATER,1358,292,2278.44,819.65,0.0,0.0
HERBS,1883,628,2206.05,43.28,0.0,0.0
JUICE,688,236,2201.03,378.09,10.799999999999999,7.2
CANNED MILK,1098,532,2186.92,335.39,1.75,0.75
SNKS/CKYS/CRKR/CNDY,822,226,2171.58,225.98,11.100000000000001,5.4
HOSIERY/SOCKS,505,235,2124.78,108.0,9.55,0.45
APPAREL,254,170,2101.32,366.67,1.0,0.0
LAWN AND GARDEN SHOP,209,136,2100.38,231.16,0.0,0.0
RICE CAKES,922,315,2083.77,305.76,1.9,1.9
DOMESTIC GOODS,551,332,2080.97,609.77,1.0,0.0
TOBACCO OTHER,541,287,2049.07,100.78,4.25,0.25
FOOT CARE PRODUCTS,314,187,2029.4,50.32,4.0,0.0
INSECTICIDES,439,301,1995.24,187.98,17.14,5.8500000000000005
HALLOWEEN,417,232,1964.0,451.25,0.0,0.0
DISPOSIBLE FOILWARE,586,371,1950.95,183.37,0.0,0.0
SUNTAN,273,186,1887.48,344.99,10.0,0.0
SQUASH,1345,396,1853.93,59.94,0.0,0.0
AUTOMOTIVE PRODUCTS,491,309,1757.69,20.56,1.0,0.0
J-HOOKS,512,342,1725.5600000000002,5.11,0.0,0.0
IRONING AND CHEMICALS,263,165,1704.03,15.78,0.0,0.0
PREPARED/PKGD FOODS,563,140,1703.8,117.67,0.5,0.5
EASTER,671,345,1576.94,146.93,0.0,0.0
FRAGRANCES,75,55,1548.0,19.77,1.0,0.0
SMOKING CESSATIONS,37,19,1539.57,45.6,0.0,0.0
SPORTS MEMORABLILIA,157,103,1521.69,56.3,0.0,0.0
FLORAL-FOLIAGE PLANTS,142,104,1503.29,0.0,0.0,0.0
SYRUPS/TOPPINGS,730,384,1489.45,142.73,8.9,8.299999999999999
PERSONAL CARE APPLIANCES,100,84,1357.32,166.71,0.0,0.0
SEAFOOD - MISC,698,391,1347.42,160.71,1.0,1.0
NON-DAIRY BEVERAGES,391,74,1281.31,212.27,21.35,11.65
FLORAL BALLOONS,239,163,1219.31,0.98,0.0,0.0
NEW AGE,350,182,1109.92,124.45,9.700000000000001,6.3
FLORAL- HARD GOODS,158,110,1043.1,6.95,0.0,0.0
OVERNIGHT PHOTOFINISHING,83,50,1029.48,53.769999999999996,0.0,0.0
PORTABLE ELECTRIC APPLIANCES,70,63,1027.11,146.51,0.0,0.0
DELI SUPPLIES,293,226,999.99,0.0,0.0,0.0
VALENTINE,289,166,990.2,147.13,0.0,0.0
BAKING,253,105,986.39,57.3,0.0,0.0
CONDIMENTS,266,125,969.46,76.27,0.0,0.0
COSMETIC ACCESSORIES,135,101,960.1,19.07,0.0,0.0
FIREWORKS,119,84,900.85,0.7,0.0,0.0
EXOTIC GAME/FOWL,123,91,860.4200000000001,183.89000000000001,2.4,1.6
PACKAGED NATURAL SNACKS,226,122,843.1,0.5,0.0,0.0
SEASONAL,129,118,834.47,75.17,0.0,0.0
LAMB,137,39,829.27,23.73,0.0,0.0
FALL AND WINTER SEASONAL,104,71,749.47,42.69,2.0,0.0
BIRD SEED,206,69,726.73,72.07000000000001,0.0,0.0
HOME FURNISHINGS,40,35,692.18,88.24,0.0,0.0
PROPANE,31,27,673.68,0.0,0.0,0.0
GLASSES/VISION AIDS,78,62,665.68,0.0,0.0,0.0
COUPONS/STORE & MFG,408,262,652.51,139.35,16.62,3.75
ETHNIC PERSONAL CARE,202,94,644.49,42.74,0.0,0.0
BAKERY PARTY TRAYS,84,69,613.87,2.5,0.0,0.0
BEVERAGE,184,76,596.67,55.05,0.0,0.0
GLASSWARE & DINNERWARE,103,77,581.16,118.07000000000001,1.75,0.25
COFFEE SHOP,188,44,571.16,52.75,0.0,0.0
HOME FREEZING & CANNING SUPPLY,118,60,568.99,70.93,2.75,2.25
DELI SPECIALTIES (RETAIL PK),197,128,528.71,25.080000000000002,0.0,0.0
LONG DISTANCE CALLING CARDS,39,21,451.59,9.17,0.0,0.0
DRY TEA/COFFEE/COCO MIX,110,52,408.98,54.11,0.55,0.45
QUICK SERVICE,69,36,388.42,0.0,0.0,0.0
BABYFOOD,270,22,363.95,15.69,4.75,1.25
SHOE CARE,160,106,354.83,4.98,0.0,0.0
CIGARS,76,44,354.82,0.0,0.0,0.0
FLORAL-ACCESSORIES,45,40,320.99,1.1,0.0,0.0
COUPON,42,39,309.46,0.0,0.0,0.0
NON EDIBLE PRODUCTS,57,22,309.43,19.62,0.0,0.0
COFFEE SHOP SWEET GOODS&RETAIL,50,25,301.39,0.0,0.0,0.0
CONTINUITIES,73,54,269.36,12.98,0.0,0.0
DOLLAR VALUE PRODUCTS,123,85,209.02,63.93,0.0,0.0
SERVICE BEVERAGE,158,64,201.32000000000002,4.64,0.0,0.0
NATURAL VITAMINS,20,17,194.46,42.98,0.0,0.0
MEAT SUPPLIES,31,25,194.37,0.0,0.0,0.0
SEWING,101,79,184.74,6.859999999999999,0.0,0.0
VEAL,34,27,167.13,0.0,0.0,0.0
GIFT & FRUIT BASKETS,12,11,159.39,0.0,0.0,0.0
FRZN SEAFOOD,29,21,149.76000000000002,16.0,0.0,0.0
NATURAL HBC,22,16,84.08,2.6,0.0,0.0
BOTTLE DEPOSITS,42,10,68.9,0.0,0.0,0.0
WATCHES/CALCULATORS/LOBBY,14,12,66.10000000000001,5.0,0.0,0.0
RESTRICTED DIET,26,16,64.59,0.4,0.0,0.0
BOUQUET (NON ROSE),7,7,53.93,0.0,0.0,0.0
PHARMACY,6,6,50.94,0.0,0.0,0.0
HOME HEALTH CARE,4,4,49.519999999999996,0.0,0.0,0.0
EASTER LILY,1,1,31.98,0.0,0.0,0.0
RW FRESH PROCESSED MEAT,15,9,30.84,7.83,0.0,0.0
MISCELLANEOUS HBC,11,9,30.490000000000002,0.0,0.0,0.0
PKG.SEAFOOD MISC,6,2,27.92,0.0,0.0,0.0
BULK FOODS,4,4,20.060000000000002,0.0,0.0,0.0
PROD SUPPLIES,12,7,19.69,0.0,0.0,0.0
NDAIRY/TEAS/JUICE/SOD,1,1,9.4,0.0,0.0,0.0
MISCELLANEOUS CROUTONS,1,1,6.39,0.0,0.0,0.0
TOYS,2,2,4.17,3.2,0.0,0.0
