product_id,repeat_intervals,mean_interval_days
1082185,15077,22.33892684220999
6534178,10276,17.9316854807318
1029743,6668,26.407318536292742
995242,6240,28.035576923076924
1106523,4468,26.381154879140556
981760,3852,43.74896157840083
1133018,3363,30.580731489741304
883404,2857,36.46797339866993
951590,2645,28.79092627599244
1127831,2485,34.8523138832998
908531,2294,34.689189189189186
1126899,2199,23.96225557071396
826249,2160,41.56203703703704
1070820,2103,23.359486447931527
1005186,2053,29.521675596687775
5569230,2037,36.40058910162003
862349,2032,25.599901574803148
849843,1998,35.788788788788786
860776,1991,44.80110497237569
840361,1987,51.50578761952693
1058997,1970,28.66446700507614
995785,1960,54.04183673469388
1098066,1853,47.489476524554775
961554,1802,54.01165371809101
904360,1776,44.51914414414414
916122,1626,53.222017220172205
923746,1585,47.160252365930596
1044078,1583,51.95514845230575
854852,1552,42.14497422680412
844179,1355,58.10848708487085
986912,1341,28.39821029082774
962229,1337,28.267015706806284
1065593,1330,36.06917293233083
903325,1308,45.32874617737003
878996,1284,46.073208722741434
859075,1273,56.532600157109194
994928,1267,53.70797158642463
866211,1267,57.92896606156275
1096036,1235,50.44615384615385
1053690,1219,39.92206726825267
834484,1194,56.79229480737018
1085604,1153,25.227233304423244
866227,1141,32.61787905346188
1004906,1121,68.91347011596788
962568,1116,63.132616487455195
844165,1115,39.936322869955156
1081177,1115,51.65560538116592
8090521,915,41.99781420765027
833025,913,57.64293537787513
933835,907,42.50385887541345
1092026,891,40.95510662177329
5569471,874,40.264302059496565
6533765,867,22.61361014994233
5568378,866,58.47459584295612
1068719,866,67.04734411085451
1024306,863,38.80301274623407
6034857,835,45.550898203592816
901062,833,45.12364945978391
1070015,832,25.030048076923077
979707,827,72.80411124546553
899624,825,65.28727272727272
845208,819,69.33089133089133
999971,805,36.7776397515528
909894,779,48.93966623876765
1075368,779,21.590500641848525
847982,768,55.54296875
8090537,764,48.76570680628272
1026118,764,50.12565445026178
1080414,718,38.540389972144844
879755,716,30.60335195530726
6533889,699,15.952789699570815
1038217,695,58.91079136690647
1033142,695,41.54964028776978
1101010,693,34.311688311688314
983584,684,32.776315789473685
953476,673,48.536404160475485
938700,673,63.74294205052006
1039156,656,44.16310975609756
1028816,642,39.890965732087224
1056509,641,43.3603744149766
1007195,639,29.54303599374022
1120741,634,16.662460567823345
987562,622,57.61736334405145
965766,617,66.88816855753646
1071939,610,58.221311475409834
1037863,608,69.03618421052632
1013321,602,61.308970099667775
909714,601,43.18968386023295
1022254,600,63.665
5592931,596,53.1996644295302
914190,591,58.676818950930624
1055646,589,71.21052631578948
6534166,583,20.451114922813037
1110572,578,34.04671280276817
820165,565,48.91504424778761
995965,559,45.0912343470483
868764,559,29.56350626118068
9526410,557,38.15439856373429
824005,550,49.53090909090909
976998,547,43.86471663619744
1033615,544,33.4375
910032,538,48.03903345724907
12810393,535,65.38130841121496
1022003,534,58.234082397003746
929668,526,52.91825095057034
913210,522,46.10919540229885
847270,516,62.21705426356589
1041259,510,64.07058823529412
1006184,506,57.56324110671937
951412,502,49.26892430278885
908846,502,54.657370517928285
1043590,498,68.00401606425703
5585510,496,43.604838709677416
1040807,493,43.04868154158215
927191,482,48.49792531120332
986947,480,43.69583333333333
885290,480,27.772916666666667
1051516,478,42.32845188284519
976199,475,54.29684210526316
1057260,474,23.542194092827003
940947,467,48.4475374732334
1119051,467,42.74304068522484
1137688,464,51.79956896551724
1023720,449,35.910913140311806
893018,448,59.747767857142854
1077555,445,56.06741573033708
1003188,444,37.101351351351354
1062966,443,55.61625282167043
971922,437,41.21739130434783
5569327,437,58.7299771167048
861272,431,55.33410672853828
989101,429,21.95104895104895
894236,426,21.718309859154928
1132771,423,47.874704491725765
857849,415,60.13734939759036
1095275,415,30.387951807228916
1122358,414,41.492753623188406
860975,410,45.046341463414635
1055863,407,37.45945945945946
832678,404,52.78217821782178
882441,403,28.54590570719603
9527290,400,39.26
1124729,398,47.484924623115575
1003600,392,47.18622448979592
893501,388,41.83247422680412
916993,378,36.092592592592595
1116821,377,51.55968169761273
990797,375,59.224
12263788,375,34.87466666666667
1037840,374,26.994652406417114
1134522,371,53.301886792452834
1101173,371,61.463611859838274
1062002,371,46.00269541778976
1056651,370,19.91891891891892
870547,364,67.9065934065934
1117514,361,63.72576177285318
1110843,361,50.310249307479225
947798,358,33.83519553072626
930917,358,64.97486033519553
873627,358,43.0
1132770,358,43.24301675977654
856772,357,52.78991596638655
1029624,356,51.47752808988764
834117,355,57.264788732394365
908318,347,49.4207492795389
1015247,347,30.608069164265128
883003,344,42.92732558139535
1136257,344,73.98837209302326
970030,342,64.70760233918129
5569845,340,58.20294117647059
874972,339,58.657817109144545
907014,337,76.39169139465875
1105488,337,57.37685459940653
883932,335,70.01194029850747
1137775,333,50.309309309309306
985119,332,39.774096385542165
916381,332,58.1355421686747
896369,331,68.90030211480362
999104,329,47.48024316109422
871756,323,84.6594427244582
1023958,316,47.36392405063291
835098,314,59.21337579617835
825541,313,46.3961661341853
1123792,313,22.926517571884983
1107553,311,32.48874598070739
952317,308,53.83766233766234
1076875,308,47.451298701298704
1042438,307,60.039087947882734
872137,306,55.173202614379086
9677202,305,31.386885245901638
925514,304,50.67763157894737
890610,301,59.18936877076412
5569374,301,45.75083056478405
900802,297,58.78787878787879
857503,297,69.72390572390573
821083,297,36.51851851851852
822407,296,62.513513513513516
870515,295,54.71864406779661
1018740,294,50.09863945578231
1051069,292,45.98287671232877
880150,291,79.91408934707904
1050851,289,52.42906574394463
5590287,288,37.489583333333336
993638,287,51.940766550522646
833715,287,65.13588850174216
1048462,285,46.37894736842105
1113588,284,41.98943661971831
1077975,283,19.081272084805654
1036501,282,25.20212765957447
944534,279,64.44802867383513
1050229,278,81.15467625899281
1002558,277,57.69675090252708
999858,276,83.02173913043478
944836,274,44.2956204379562
8090532,272,54.345588235294116
1037894,270,38.15555555555556
861445,269,34.71747211895911
5568729,269,55.35687732342007
1138443,269,47.33457249070632
1106301,269,55.933085501858734
1058779,269,65.7918215613383
1096317,268,57.093283582089555
913785,267,86.65917602996255
862139,266,71.02255639097744
1091365,266,39.62406015037594
1043751,265,51.60754716981132
985999,263,59.61216730038023
866140,262,56.62595419847328
1102959,262,50.01145038167939
965267,261,24.88888888888889
819978,261,55.54406130268199
892008,260,59.04615384615385
911812,259,67.91891891891892
1127624,259,49.56370656370656
1053763,259,53.8957528957529
918733,255,48.94509803921569
928049,254,57.39763779527559
6602697,254,45.90157480314961
1087102,253,56.26877470355731
5584027,252,40.8531746031746
863447,249,82.70281124497993
1068651,247,13.417004048582996
949616,246,34.23170731707317
896085,245,44.779591836734696
1055504,245,54.63265306122449
970119,244,51.59016393442623
926905,244,36.86065573770492
873964,244,21.709016393442624
865456,244,72.54098360655738
959409,243,23.279835390946502
898980,243,43.79012345679013
925626,242,63.65702479338843
1051211,242,69.34297520661157
907631,240,58.02916666666667
850841,240,39.75833333333333
1073150,240,34.045833333333334
845193,239,33.36401673640167
987724,237,67.48101265822785
7167218,237,36.32911392405063
1082212,236,37.91525423728814
897125,235,87.06382978723404
839419,235,57.97021276595745
12301109,235,73.7404255319149
9527494,234,45.623931623931625
9526563,234,41.76923076923077
8090536,234,39.14102564102564
13511722,234,20.61965811965812
1009449,234,48.35897435897436
1001148,233,46.39055793991416
1074333,232,31.70689655172414
941741,231,45.056277056277054
1102949,231,40.09090909090909
1022872,231,42.900432900432904
1138189,230,30.55217391304348
1030819,230,68.29565217391304
839849,229,20.397379912663755
1074405,229,64.24017467248909
965842,228,41.29824561403509
916767,228,17.81578947368421
8205218,228,42.07017543859649
5585635,227,35.68722466960352
12946027,227,40.56828193832599
847789,225,49.715555555555554
1118393,225,49.88444444444445
1061220,225,47.10666666666667
1037332,225,35.45777777777778
890695,224,51.92857142857143
874736,223,39.587443946188344
1052912,223,69.15695067264573
890536,222,11.103603603603604
1114597,222,43.549549549549546
8090509,220,53.21818181818182
895540,219,33.118721461187214
