basket_segment,shopping_days,precision_at_8,recall_full_basket
1-8 products,3567,0.0791982057751612,0.18183213851842953
9-20 products,1576,0.2219225888324873,0.13490222146333652
21+ products,1090,0.3618119266055046,0.08693720441121465
